Codigo,Localidad,ActividadEconomica,Year,PorcUso
2,"CHAPINERO","COMERCIO",2015,0.067469382
2,"CHAPINERO","HOTELES",2015,0.024022685
2,"CHAPINERO","INDUSTRIA",2015,0.000017886
2,"CHAPINERO","LOTES",2015,0.000000000
2,"CHAPINERO","OFICINAS",2015,0.225372945
2,"CHAPINERO","OTROS",2015,0.025141064
2,"CHAPINERO","RESIDENCIAL",2015,0.585434150
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2015,0.048281300
2,"CHAPINERO","BODEGAS",2016,0.006359218
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2016,0.017475066
2,"CHAPINERO","COMERCIO",2016,0.067045841
2,"CHAPINERO","HOTELES",2016,0.024138041
2,"CHAPINERO","INDUSTRIA",2016,0.000017670
2,"CHAPINERO","LOTES",2016,0.000000000
2,"CHAPINERO","OFICINAS",2016,0.223365361
2,"CHAPINERO","OTROS",2016,0.024555054
2,"CHAPINERO","RESIDENCIAL",2016,0.588851210
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2016,0.048192539
2,"CHAPINERO","BODEGAS",2017,0.007284920
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2017,0.017065963
2,"CHAPINERO","COMERCIO",2017,0.066089791
2,"CHAPINERO","HOTELES",2017,0.022100281
2,"CHAPINERO","INDUSTRIA",2017,0.000017680
2,"CHAPINERO","LOTES",2017,0.000000000
2,"CHAPINERO","OFICINAS",2017,0.221190829
2,"CHAPINERO","OTROS",2017,0.024368010
2,"CHAPINERO","RESIDENCIAL",2017,0.593092032
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2017,0.048790493
2,"CHAPINERO","BODEGAS",2018,0.007339102
2,"CHAPINERO","CLINICAS, HOSPITALES, CENTROS MEDICOS",2018,0.016460665
2,"CHAPINERO","COMERCIO",2018,0.064932813
2,"CHAPINERO","HOTELES",2018,0.021502083
2,"CHAPINERO","INDUSTRIA",2018,0.000017166
2,"CHAPINERO","LOTES",2018,0.000000000
2,"CHAPINERO","OFICINAS",2018,0.223089514
2,"CHAPINERO","OTROS",2018,0.025331201
2,"CHAPINERO","RESIDENCIAL",2018,0.592302487
2,"CHAPINERO","UNIVERSIDADES Y COLEGIOS",2018,0.049024969
3,"SANTA FÉ","BODEGAS",2010,0.019324959
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2010,0.000842561
3,"SANTA FÉ","COMERCIO",2010,0.124181283
3,"SANTA FÉ","HOTELES",2010,0.025793509
3,"SANTA FÉ","INDUSTRIA",2010,0.000908937
3,"SANTA FÉ","LOTES",2010,0.000656991
3,"SANTA FÉ","OFICINAS",2010,0.264781290
3,"SANTA FÉ","OTROS",2010,0.072471178
3,"SANTA FÉ","RESIDENCIAL",2010,0.442244491
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2010,0.048794801
3,"SANTA FÉ","BODEGAS",2011,0.019547471
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2011,0.000850691
3,"SANTA FÉ","COMERCIO",2011,0.120939726
3,"SANTA FÉ","HOTELES",2011,0.023864318
3,"SANTA FÉ","INDUSTRIA",2011,0.000649795
3,"SANTA FÉ","LOTES",2011,0.000000000
3,"SANTA FÉ","OFICINAS",2011,0.267316357
3,"SANTA FÉ","OTROS",2011,0.074827947
3,"SANTA FÉ","RESIDENCIAL",2011,0.443529379
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2011,0.048474316
3,"SANTA FÉ","BODEGAS",2012,0.021277484
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2012,0.000824392
3,"SANTA FÉ","COMERCIO",2012,0.119568592
3,"SANTA FÉ","HOTELES",2012,0.016595586
3,"SANTA FÉ","INDUSTRIA",2012,0.000481673
3,"SANTA FÉ","LOTES",2012,0.000019467
3,"SANTA FÉ","OFICINAS",2012,0.272000337
3,"SANTA FÉ","OTROS",2012,0.075809056
3,"SANTA FÉ","RESIDENCIAL",2012,0.443661235
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2012,0.049762177
3,"SANTA FÉ","BODEGAS",2013,0.021566998
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2013,0.000834144
3,"SANTA FÉ","COMERCIO",2013,0.121735426
3,"SANTA FÉ","HOTELES",2013,0.017022349
3,"SANTA FÉ","INDUSTRIA",2013,0.000487371
3,"SANTA FÉ","LOTES",2013,0.000000000
3,"SANTA FÉ","OFICINAS",2013,0.275375929
3,"SANTA FÉ","OTROS",2013,0.077317379
3,"SANTA FÉ","RESIDENCIAL",2013,0.434525721
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2013,0.051134683
3,"SANTA FÉ","BODEGAS",2014,0.020231692
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2014,0.000955071
3,"SANTA FÉ","COMERCIO",2014,0.101605066
3,"SANTA FÉ","HOTELES",2014,0.016991778
3,"SANTA FÉ","INDUSTRIA",2014,0.000446980
3,"SANTA FÉ","LOTES",2014,0.000279863
3,"SANTA FÉ","OFICINAS",2014,0.297509753
3,"SANTA FÉ","OTROS",2014,0.075594645
3,"SANTA FÉ","RESIDENCIAL",2014,0.435404186
3,"SANTA FÉ","UNIVERSIDADES Y COLEGIOS",2014,0.050980965
3,"SANTA FÉ","BODEGAS",2015,0.020295996
3,"SANTA FÉ","CLINICAS, HOSPITALES, CENTROS MEDICOS",2015,0.000950731
